# ststem: haicgu, experiment: inc_b, nnodes: 8, process-per-node: 128
# msg_size, datafile
1B, ./data/haicgu/2024-07-30_16:17:09/data.csv
4B, ./data/haicgu/2024-07-30_16:27:11/data.csv
8B, ./data/haicgu/2024-07-30_16:37:12/data.csv
64B, ./data/haicgu/2024-07-30_16:47:13/data.csv
512B, ./data/haicgu/2024-07-30_16:57:14/data.csv
4KiB, ./data/haicgu/2024-07-30_17:07:15/data.csv
1B, ./data/haicgu/2024-07-31_01:14:25/data.csv
4B, ./data/haicgu/2024-07-31_01:24:26/data.csv
8B, ./data/haicgu/2024-07-31_01:34:27/data.csv
64B, ./data/haicgu/2024-07-31_01:44:28/data.csv
512B, ./data/haicgu/2024-07-31_01:54:29/data.csv
4KiB, ./data/haicgu/2024-07-31_02:04:00/data.csv
