# ststem: haicgu, experiment: inc_b, nnodes: 4, process-per-node: 1
# msg_size, datafile
1B, ./data/haicgu/2024-07-30_15:09:09/data.csv
4B, ./data/haicgu/2024-07-30_15:09:36/data.csv
8B, ./data/haicgu/2024-07-30_15:10:04/data.csv
64B, ./data/haicgu/2024-07-30_15:10:31/data.csv
512B, ./data/haicgu/2024-07-30_15:10:58/data.csv
4KiB, ./data/haicgu/2024-07-30_15:11:26/data.csv
32KiB, ./data/haicgu/2024-07-30_15:11:53/data.csv
256KiB, ./data/haicgu/2024-07-30_15:12:21/data.csv
2MiB, ./data/haicgu/2024-07-30_15:12:49/data.csv
16MiB, ./data/haicgu/2024-07-30_15:13:16/data.csv
128MiB, ./data/haicgu/2024-07-30_15:13:48/data.csv
8GiB, ./data/haicgu/2024-07-30_15:15:16/data.csv
1B, ./data/haicgu/2024-07-31_00:06:46/data.csv
4B, ./data/haicgu/2024-07-31_00:07:12/data.csv
8B, ./data/haicgu/2024-07-31_00:07:38/data.csv
64B, ./data/haicgu/2024-07-31_00:08:04/data.csv
512B, ./data/haicgu/2024-07-31_00:08:31/data.csv
4KiB, ./data/haicgu/2024-07-31_00:08:57/data.csv
32KiB, ./data/haicgu/2024-07-31_00:09:24/data.csv
256KiB, ./data/haicgu/2024-07-31_00:09:50/data.csv
2MiB, ./data/haicgu/2024-07-31_00:10:16/data.csv
16MiB, ./data/haicgu/2024-07-31_00:10:42/data.csv
128MiB, ./data/haicgu/2024-07-31_00:11:15/data.csv
8GiB, ./data/haicgu/2024-07-31_00:12:42/data.csv
