# ststem: haicgu, experiment: inc_b, nnodes: 2, process-per-node: 1
# msg_size, datafile
1B, ./data/haicgu/2024-07-30_14:08:51/data.csv
4B, ./data/haicgu/2024-07-30_14:09:10/data.csv
8B, ./data/haicgu/2024-07-30_14:09:29/data.csv
64B, ./data/haicgu/2024-07-30_14:09:48/data.csv
512B, ./data/haicgu/2024-07-30_14:10:06/data.csv
4KiB, ./data/haicgu/2024-07-30_14:10:25/data.csv
32KiB, ./data/haicgu/2024-07-30_14:10:44/data.csv
256KiB, ./data/haicgu/2024-07-30_14:11:03/data.csv
2MiB, ./data/haicgu/2024-07-30_14:11:22/data.csv
16MiB, ./data/haicgu/2024-07-30_14:11:41/data.csv
128MiB, ./data/haicgu/2024-07-30_14:12:02/data.csv
1GiB, ./data/haicgu/2024-07-30_14:12:32/data.csv
8GiB, ./data/haicgu/2024-07-30_14:14:24/data.csv
1B, ./data/haicgu/2024-07-30_23:22:07/data.csv
4B, ./data/haicgu/2024-07-30_23:22:26/data.csv
8B, ./data/haicgu/2024-07-30_23:22:45/data.csv
64B, ./data/haicgu/2024-07-30_23:23:03/data.csv
512B, ./data/haicgu/2024-07-30_23:23:22/data.csv
4KiB, ./data/haicgu/2024-07-30_23:23:40/data.csv
32KiB, ./data/haicgu/2024-07-30_23:23:59/data.csv
256KiB, ./data/haicgu/2024-07-30_23:24:17/data.csv
2MiB, ./data/haicgu/2024-07-30_23:24:36/data.csv
16MiB, ./data/haicgu/2024-07-30_23:24:54/data.csv
128MiB, ./data/haicgu/2024-07-30_23:25:14/data.csv
1GiB, ./data/haicgu/2024-07-30_23:25:44/data.csv
8GiB, ./data/haicgu/2024-07-30_23:27:35/data.csv
