# ststem: haicgu, experiment: inc_b, nnodes: 2, process-per-node: 128
# msg_size, datafile
1B, ./data/haicgu/2024-07-30_14:14:44/data.csv
4B, ./data/haicgu/2024-07-30_14:23:12/data.csv
8B, ./data/haicgu/2024-07-30_14:30:02/data.csv
64B, ./data/haicgu/2024-07-30_14:37:49/data.csv
512B, ./data/haicgu/2024-07-30_14:45:41/data.csv
4KiB, ./data/haicgu/2024-07-30_14:54:09/data.csv
1B, ./data/haicgu/2024-07-30_23:27:55/data.csv
4B, ./data/haicgu/2024-07-30_23:31:18/data.csv
8B, ./data/haicgu/2024-07-30_23:34:27/data.csv
64B, ./data/haicgu/2024-07-30_23:37:01/data.csv
512B, ./data/haicgu/2024-07-30_23:39:58/data.csv
4KiB, ./data/haicgu/2024-07-30_23:43:32/data.csv
32KiB, ./data/haicgu/2024-07-30_23:46:53/data.csv
256KiB, ./data/haicgu/2024-07-30_23:50:54/data.csv
2MiB, ./data/haicgu/2024-07-30_23:55:41/data.csv
8GiB, ./data/haicgu/2024-07-31_00:04:24/data.csv
