# ststem: haicgu, experiment: inc_b, nnodes: 8, process-per-node: 1
# msg_size, datafile
1B, ./data/haicgu/2024-07-30_16:09:38/data.csv
4B, ./data/haicgu/2024-07-30_16:10:05/data.csv
8B, ./data/haicgu/2024-07-30_16:10:33/data.csv
64B, ./data/haicgu/2024-07-30_16:11:00/data.csv
512B, ./data/haicgu/2024-07-30_16:11:28/data.csv
4KiB, ./data/haicgu/2024-07-30_16:11:55/data.csv
32KiB, ./data/haicgu/2024-07-30_16:12:23/data.csv
256KiB, ./data/haicgu/2024-07-30_16:12:50/data.csv
2MiB, ./data/haicgu/2024-07-30_16:13:20/data.csv
16MiB, ./data/haicgu/2024-07-30_16:13:48/data.csv
128MiB, ./data/haicgu/2024-07-30_16:14:26/data.csv
8GiB, ./data/haicgu/2024-07-30_16:16:41/data.csv
1B, ./data/haicgu/2024-07-31_01:06:53/data.csv
4B, ./data/haicgu/2024-07-31_01:07:21/data.csv
8B, ./data/haicgu/2024-07-31_01:07:48/data.csv
64B, ./data/haicgu/2024-07-31_01:08:15/data.csv
512B, ./data/haicgu/2024-07-31_01:08:43/data.csv
4KiB, ./data/haicgu/2024-07-31_01:09:10/data.csv
32KiB, ./data/haicgu/2024-07-31_01:09:37/data.csv
256KiB, ./data/haicgu/2024-07-31_01:10:05/data.csv
2MiB, ./data/haicgu/2024-07-31_01:10:34/data.csv
16MiB, ./data/haicgu/2024-07-31_01:11:03/data.csv
128MiB, ./data/haicgu/2024-07-31_01:11:41/data.csv
8GiB, ./data/haicgu/2024-07-31_01:13:57/data.csv
