# ststem: haicgu, experiment: inc_b, nnodes: 10, process-per-node: 128
# msg_size, datafile
1B, ./data/haicgu/2024-07-30_17:17:51/data.csv
4B, ./data/haicgu/2024-07-30_17:27:53/data.csv
8B, ./data/haicgu/2024-07-30_17:37:54/data.csv
64B, ./data/haicgu/2024-07-30_17:47:55/data.csv
512B, ./data/haicgu/2024-07-30_17:57:56/data.csv
1B, ./data/haicgu/2024-07-31_02:15:14/data.csv
4B, ./data/haicgu/2024-07-31_02:25:15/data.csv
8B, ./data/haicgu/2024-07-31_02:35:16/data.csv
64B, ./data/haicgu/2024-07-31_02:45:17/data.csv
512B, ./data/haicgu/2024-07-31_02:55:18/data.csv
