# ststem: nanjin, experiment: ardc_b, nnodes: 4, process-per-node: 1
# msg_size, extra, datafile
4B, nanjin, ./data/nanjin/2024-07-30_15:03:15/data.csv
8B, nanjin, ./data/nanjin/2024-07-30_15:03:21/data.csv
64B, nanjin, ./data/nanjin/2024-07-30_15:03:27/data.csv
512B, nanjin, ./data/nanjin/2024-07-30_15:03:34/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-30_15:03:40/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-30_15:03:46/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-30_15:03:53/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-30_15:04:01/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-30_15:04:09/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-30_15:04:26/data.csv
1GiB, nanjin, ./data/nanjin/2024-07-30_15:06:02/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_15:16:05/data.csv
4B, nanjin, ./data/nanjin/2024-07-30_15:03:15/data.csv
8B, nanjin, ./data/nanjin/2024-07-30_15:03:21/data.csv
64B, nanjin, ./data/nanjin/2024-07-30_15:03:27/data.csv
512B, nanjin, ./data/nanjin/2024-07-30_15:03:34/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-30_15:03:40/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-30_15:03:46/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-30_15:03:53/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-30_15:04:01/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-30_15:04:09/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-30_15:04:26/data.csv
1GiB, nanjin, ./data/nanjin/2024-07-30_15:06:02/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_15:16:05/data.csv
4B, nanjin2, ./data/nanjin/2024-08-07_10:23:51/data.csv
8B, nanjin2, ./data/nanjin/2024-08-07_10:23:58/data.csv
64B, nanjin2, ./data/nanjin/2024-08-07_10:24:04/data.csv
512B, nanjin2, ./data/nanjin/2024-08-07_10:24:10/data.csv
4KiB, nanjin2, ./data/nanjin/2024-08-07_10:24:17/data.csv
32KiB, nanjin2, ./data/nanjin/2024-08-07_10:24:23/data.csv
256KiB, nanjin2, ./data/nanjin/2024-08-07_10:24:30/data.csv
2MiB, nanjin2, ./data/nanjin/2024-08-07_10:24:39/data.csv
16MiB, nanjin2, ./data/nanjin/2024-08-07_10:24:46/data.csv
128MiB, nanjin2, ./data/nanjin/2024-08-07_10:25:04/data.csv
1GiB, nanjin2, ./data/nanjin/2024-08-07_10:26:41/data.csv
8GiB, nanjin2, ./data/nanjin/2024-08-07_10:36:44/data.csv
4B, nanjin, ./data/nanjin/2024-07-30_15:03:15/data.csv
8B, nanjin, ./data/nanjin/2024-07-30_15:03:21/data.csv
64B, nanjin, ./data/nanjin/2024-07-30_15:03:27/data.csv
512B, nanjin, ./data/nanjin/2024-07-30_15:03:34/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-30_15:03:40/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-30_15:03:46/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-30_15:03:53/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-30_15:04:01/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-30_15:04:09/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-30_15:04:26/data.csv
1GiB, nanjin, ./data/nanjin/2024-07-30_15:06:02/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_15:16:05/data.csv
4B, nanjin, ./data/nanjin/2024-07-30_15:03:15/data.csv
8B, nanjin, ./data/nanjin/2024-07-30_15:03:21/data.csv
64B, nanjin, ./data/nanjin/2024-07-30_15:03:27/data.csv
512B, nanjin, ./data/nanjin/2024-07-30_15:03:34/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-30_15:03:40/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-30_15:03:46/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-30_15:03:53/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-30_15:04:01/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-30_15:04:09/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-30_15:04:26/data.csv
1GiB, nanjin, ./data/nanjin/2024-07-30_15:06:02/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_15:16:05/data.csv
4B, nanjin2, ./data/nanjin/2024-08-07_10:23:51/data.csv
8B, nanjin2, ./data/nanjin/2024-08-07_10:23:58/data.csv
64B, nanjin2, ./data/nanjin/2024-08-07_10:24:04/data.csv
512B, nanjin2, ./data/nanjin/2024-08-07_10:24:10/data.csv
4KiB, nanjin2, ./data/nanjin/2024-08-07_10:24:17/data.csv
32KiB, nanjin2, ./data/nanjin/2024-08-07_10:24:23/data.csv
256KiB, nanjin2, ./data/nanjin/2024-08-07_10:24:30/data.csv
2MiB, nanjin2, ./data/nanjin/2024-08-07_10:24:39/data.csv
16MiB, nanjin2, ./data/nanjin/2024-08-07_10:24:46/data.csv
128MiB, nanjin2, ./data/nanjin/2024-08-07_10:25:04/data.csv
1GiB, nanjin2, ./data/nanjin/2024-08-07_10:26:41/data.csv
8GiB, nanjin2, ./data/nanjin/2024-08-07_10:36:44/data.csv
4B, nanjin, ./data/nanjin/2024-07-30_15:03:15/data.csv
8B, nanjin, ./data/nanjin/2024-07-30_15:03:21/data.csv
64B, nanjin, ./data/nanjin/2024-07-30_15:03:27/data.csv
512B, nanjin, ./data/nanjin/2024-07-30_15:03:34/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-30_15:03:40/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-30_15:03:46/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-30_15:03:53/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-30_15:04:01/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-30_15:04:09/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-30_15:04:26/data.csv
1GiB, nanjin, ./data/nanjin/2024-07-30_15:06:02/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_15:16:05/data.csv
4B, nanjin, ./data/nanjin/2024-07-30_15:03:15/data.csv
8B, nanjin, ./data/nanjin/2024-07-30_15:03:21/data.csv
64B, nanjin, ./data/nanjin/2024-07-30_15:03:27/data.csv
512B, nanjin, ./data/nanjin/2024-07-30_15:03:34/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-30_15:03:40/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-30_15:03:46/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-30_15:03:53/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-30_15:04:01/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-30_15:04:09/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-30_15:04:26/data.csv
1GiB, nanjin, ./data/nanjin/2024-07-30_15:06:02/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_15:16:05/data.csv
4B, nanjin2, ./data/nanjin/2024-08-07_10:23:51/data.csv
8B, nanjin2, ./data/nanjin/2024-08-07_10:23:58/data.csv
64B, nanjin2, ./data/nanjin/2024-08-07_10:24:04/data.csv
512B, nanjin2, ./data/nanjin/2024-08-07_10:24:10/data.csv
4KiB, nanjin2, ./data/nanjin/2024-08-07_10:24:17/data.csv
32KiB, nanjin2, ./data/nanjin/2024-08-07_10:24:23/data.csv
256KiB, nanjin2, ./data/nanjin/2024-08-07_10:24:30/data.csv
2MiB, nanjin2, ./data/nanjin/2024-08-07_10:24:39/data.csv
16MiB, nanjin2, ./data/nanjin/2024-08-07_10:24:46/data.csv
128MiB, nanjin2, ./data/nanjin/2024-08-07_10:25:04/data.csv
1GiB, nanjin2, ./data/nanjin/2024-08-07_10:26:41/data.csv
8GiB, nanjin2, ./data/nanjin/2024-08-07_10:36:44/data.csv
