# ststem: nanjin, experiment: ardc_b, nnodes: 2, process-per-node: 1
# msg_size, extra, datafile
4B, nanjin, ./data/nanjin/2024-07-30_15:17:15/data.csv
8B, nanjin, ./data/nanjin/2024-07-30_15:17:21/data.csv
64B, nanjin, ./data/nanjin/2024-07-30_15:17:27/data.csv
512B, nanjin, ./data/nanjin/2024-07-30_15:17:33/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-30_15:17:39/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-30_15:17:45/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-30_15:17:52/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-30_15:17:59/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-30_15:18:06/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-30_15:18:18/data.csv
1GiB, nanjin, ./data/nanjin/2024-07-30_15:19:26/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_15:27:51/data.csv
4B, nanjin, ./data/nanjin/2024-07-30_15:17:15/data.csv
8B, nanjin, ./data/nanjin/2024-07-30_15:17:21/data.csv
64B, nanjin, ./data/nanjin/2024-07-30_15:17:27/data.csv
512B, nanjin, ./data/nanjin/2024-07-30_15:17:33/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-30_15:17:39/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-30_15:17:45/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-30_15:17:52/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-30_15:17:59/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-30_15:18:06/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-30_15:18:18/data.csv
1GiB, nanjin, ./data/nanjin/2024-07-30_15:19:26/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_15:27:51/data.csv
4B, nanjin2, ./data/nanjin/2024-08-07_10:08:58/data.csv
8B, nanjin2, ./data/nanjin/2024-08-07_10:09:04/data.csv
64B, nanjin2, ./data/nanjin/2024-08-07_10:09:10/data.csv
