# ststem: nanjin, experiment: inc_b, nnodes: 2, process-per-node: 1
# msg_size, datafile
1B, ./data/nanjin/2024-07-30_15:40:45/data.csv
4B, ./data/nanjin/2024-07-30_15:40:51/data.csv
8B, ./data/nanjin/2024-07-30_15:40:58/data.csv
64B, ./data/nanjin/2024-07-30_15:41:04/data.csv
512B, ./data/nanjin/2024-07-30_15:41:10/data.csv
4KiB, ./data/nanjin/2024-07-30_15:41:16/data.csv
32KiB, ./data/nanjin/2024-07-30_15:41:22/data.csv
256KiB, ./data/nanjin/2024-07-30_15:41:28/data.csv
2MiB, ./data/nanjin/2024-07-30_15:41:34/data.csv
16MiB, ./data/nanjin/2024-07-30_15:41:40/data.csv
128MiB, ./data/nanjin/2024-07-30_15:41:47/data.csv
1GiB, ./data/nanjin/2024-07-30_15:41:59/data.csv
8GiB, ./data/nanjin/2024-07-30_15:42:52/data.csv
