# ststem: nanjin, experiment: inc_b, nnodes: 4, process-per-node: 64
# msg_size, datafile
1B, ./data/nanjin/2024-07-30_15:38:01/data.csv
4B, ./data/nanjin/2024-07-30_15:38:07/data.csv
8B, ./data/nanjin/2024-07-30_15:38:13/data.csv
64B, ./data/nanjin/2024-07-30_15:38:20/data.csv
512B, ./data/nanjin/2024-07-30_15:38:26/data.csv
4KiB, ./data/nanjin/2024-07-30_15:38:32/data.csv
32KiB, ./data/nanjin/2024-07-30_15:38:38/data.csv
256KiB, ./data/nanjin/2024-07-30_15:38:45/data.csv
2MiB, ./data/nanjin/2024-07-30_15:38:51/data.csv
16MiB, ./data/nanjin/2024-07-30_15:38:58/data.csv
128MiB, ./data/nanjin/2024-07-30_15:39:06/data.csv
8GiB, ./data/nanjin/2024-07-30_15:40:15/data.csv
