# ststem: nanjin, experiment: inc_b, nnodes: 8, process-per-node: 1
# msg_size, datafile
1B, ./data/nanjin/2024-07-30_15:29:16/data.csv
4B, ./data/nanjin/2024-07-30_15:29:23/data.csv
8B, ./data/nanjin/2024-07-30_15:29:30/data.csv
64B, ./data/nanjin/2024-07-30_15:29:37/data.csv
512B, ./data/nanjin/2024-07-30_15:29:44/data.csv
4KiB, ./data/nanjin/2024-07-30_15:29:51/data.csv
32KiB, ./data/nanjin/2024-07-30_15:29:59/data.csv
256KiB, ./data/nanjin/2024-07-30_15:30:06/data.csv
2MiB, ./data/nanjin/2024-07-30_15:30:14/data.csv
16MiB, ./data/nanjin/2024-07-30_15:30:22/data.csv
128MiB, ./data/nanjin/2024-07-30_15:30:34/data.csv
8GiB, ./data/nanjin/2024-07-30_15:32:08/data.csv
