# ststem: nanjin, experiment: inc_b, nnodes: 2, process-per-node: 64
# msg_size, datafile
1B, ./data/nanjin/2024-07-30_15:42:58/data.csv
4B, ./data/nanjin/2024-07-30_15:43:04/data.csv
8B, ./data/nanjin/2024-07-30_15:43:11/data.csv
64B, ./data/nanjin/2024-07-30_15:43:17/data.csv
512B, ./data/nanjin/2024-07-30_15:43:23/data.csv
4KiB, ./data/nanjin/2024-07-30_15:43:29/data.csv
32KiB, ./data/nanjin/2024-07-30_15:43:35/data.csv
256KiB, ./data/nanjin/2024-07-30_15:43:41/data.csv
2MiB, ./data/nanjin/2024-07-30_15:43:47/data.csv
16MiB, ./data/nanjin/2024-07-30_15:43:53/data.csv
128MiB, ./data/nanjin/2024-07-30_15:44:00/data.csv
1GiB, ./data/nanjin/2024-07-30_15:44:12/data.csv
8GiB, ./data/nanjin/2024-07-30_15:45:06/data.csv
