# ststem: haicgu, experiment: ardc_b, nnodes: 2, process-per-node: 1
# msg_size, datafile
4B, ./data/haicgu/2024-07-30_13:05:09/data.csv
8B, ./data/haicgu/2024-07-30_13:05:36/data.csv
64B, ./data/haicgu/2024-07-30_13:06:04/data.csv
512B, ./data/haicgu/2024-07-30_13:06:31/data.csv
4KiB, ./data/haicgu/2024-07-30_13:06:59/data.csv
32KiB, ./data/haicgu/2024-07-30_13:07:26/data.csv
256KiB, ./data/haicgu/2024-07-30_13:07:54/data.csv
2MiB, ./data/haicgu/2024-07-30_13:08:22/data.csv
16MiB, ./data/haicgu/2024-07-30_13:08:50/data.csv
128MiB, ./data/haicgu/2024-07-30_13:09:23/data.csv
1GiB, ./data/haicgu/2024-07-30_13:10:47/data.csv
8GiB, ./data/haicgu/2024-07-30_13:18:20/data.csv
4B, ./data/haicgu/2024-07-30_22:18:11/data.csv
8B, ./data/haicgu/2024-07-30_22:18:36/data.csv
64B, ./data/haicgu/2024-07-30_22:19:02/data.csv
512B, ./data/haicgu/2024-07-30_22:19:30/data.csv
4KiB, ./data/haicgu/2024-07-30_22:19:56/data.csv
32KiB, ./data/haicgu/2024-07-30_22:20:22/data.csv
256KiB, ./data/haicgu/2024-07-30_22:20:54/data.csv
2MiB, ./data/haicgu/2024-07-30_22:21:21/data.csv
16MiB, ./data/haicgu/2024-07-30_22:21:47/data.csv
128MiB, ./data/haicgu/2024-07-30_22:22:19/data.csv
1GiB, ./data/haicgu/2024-07-30_22:23:42/data.csv
8GiB, ./data/haicgu/2024-07-30_22:31:19/data.csv
