# ststem: nanjin, experiment: a2a_b, nnodes: 2, process-per-node: 1
# msg_size, datafile
1B, ./data/nanjin/2024-07-30_14:33:37/data.csv
4B, ./data/nanjin/2024-07-30_14:33:43/data.csv
8B, ./data/nanjin/2024-07-30_14:33:49/data.csv
64B, ./data/nanjin/2024-07-30_14:33:55/data.csv
512B, ./data/nanjin/2024-07-30_14:34:01/data.csv
4KiB, ./data/nanjin/2024-07-30_14:34:07/data.csv
32KiB, ./data/nanjin/2024-07-30_14:34:13/data.csv
256KiB, ./data/nanjin/2024-07-30_14:34:19/data.csv
2MiB, ./data/nanjin/2024-07-30_14:34:26/data.csv
16MiB, ./data/nanjin/2024-07-30_14:34:32/data.csv
128MiB, ./data/nanjin/2024-07-30_14:34:40/data.csv
8GiB, ./data/nanjin/2024-07-30_14:35:58/data.csv
