# ststem: nanjin, experiment: a2a_b, nnodes: 4, process-per-node: 1
# msg_size, datafile
1B, ./data/nanjin/2024-07-30_14:38:54/data.csv
4B, ./data/nanjin/2024-07-30_14:39:01/data.csv
8B, ./data/nanjin/2024-07-30_14:39:07/data.csv
64B, ./data/nanjin/2024-07-30_14:39:13/data.csv
512B, ./data/nanjin/2024-07-30_14:39:19/data.csv
4KiB, ./data/nanjin/2024-07-30_14:39:25/data.csv
32KiB, ./data/nanjin/2024-07-30_14:39:32/data.csv
256KiB, ./data/nanjin/2024-07-30_14:39:38/data.csv
2MiB, ./data/nanjin/2024-07-30_14:39:45/data.csv
16MiB, ./data/nanjin/2024-07-30_14:39:52/data.csv
128MiB, ./data/nanjin/2024-07-30_14:40:02/data.csv
8GiB, ./data/nanjin/2024-07-30_14:40:52/data.csv
