# ststem: nanjin, experiment: a2a_b, nnodes: 2, process-per-node: 64
# msg_size, datafile
1B, ./data/nanjin/2024-07-30_14:36:04/data.csv
4B, ./data/nanjin/2024-07-30_14:36:10/data.csv
8B, ./data/nanjin/2024-07-30_14:36:16/data.csv
64B, ./data/nanjin/2024-07-30_14:36:22/data.csv
512B, ./data/nanjin/2024-07-30_14:36:28/data.csv
4KiB, ./data/nanjin/2024-07-30_14:36:34/data.csv
32KiB, ./data/nanjin/2024-07-30_14:36:40/data.csv
256KiB, ./data/nanjin/2024-07-30_14:36:46/data.csv
2MiB, ./data/nanjin/2024-07-30_14:36:52/data.csv
16MiB, ./data/nanjin/2024-07-30_14:36:59/data.csv
128MiB, ./data/nanjin/2024-07-30_14:37:07/data.csv
8GiB, ./data/nanjin/2024-07-30_14:38:24/data.csv
