# ststem: nanjin, experiment: a2a_b, nnodes: 8, process-per-node: 1
# msg_size, datafile
1B, ./data/nanjin/2024-07-30_14:44:52/data.csv
4B, ./data/nanjin/2024-07-30_14:44:59/data.csv
8B, ./data/nanjin/2024-07-30_14:45:07/data.csv
64B, ./data/nanjin/2024-07-30_14:45:14/data.csv
512B, ./data/nanjin/2024-07-30_14:45:21/data.csv
4KiB, ./data/nanjin/2024-07-30_14:45:28/data.csv
32KiB, ./data/nanjin/2024-07-30_14:45:36/data.csv
256KiB, ./data/nanjin/2024-07-30_14:45:44/data.csv
2MiB, ./data/nanjin/2024-07-30_14:45:53/data.csv
16MiB, ./data/nanjin/2024-07-30_14:46:01/data.csv
128MiB, ./data/nanjin/2024-07-30_14:46:16/data.csv
8GiB, ./data/nanjin/2024-07-30_14:47:34/data.csv
