# ststem: nanjin, experiment: a2a_b, nnodes: 8, process-per-node: 64
# msg_size, datafile
1B, ./data/nanjin/2024-07-30_14:47:41/data.csv
4B, ./data/nanjin/2024-07-30_14:47:48/data.csv
8B, ./data/nanjin/2024-07-30_14:47:55/data.csv
64B, ./data/nanjin/2024-07-30_14:48:03/data.csv
512B, ./data/nanjin/2024-07-30_14:48:10/data.csv
4KiB, ./data/nanjin/2024-07-30_14:48:17/data.csv
32KiB, ./data/nanjin/2024-07-30_14:48:25/data.csv
256KiB, ./data/nanjin/2024-07-30_14:48:33/data.csv
2MiB, ./data/nanjin/2024-07-30_14:48:42/data.csv
16MiB, ./data/nanjin/2024-07-30_14:48:50/data.csv
128MiB, ./data/nanjin/2024-07-30_14:49:05/data.csv
8GiB, ./data/nanjin/2024-07-30_14:50:23/data.csv
