# ststem: haicgu, experiment: a2a_b, nnodes: 8, process-per-node: 1
# msg_size, datafile
1B, ./data/haicgu/2024-07-30_11:04:39/data.csv
4B, ./data/haicgu/2024-07-30_11:05:06/data.csv
8B, ./data/haicgu/2024-07-30_11:05:34/data.csv
64B, ./data/haicgu/2024-07-30_11:06:02/data.csv
512B, ./data/haicgu/2024-07-30_11:06:29/data.csv
4KiB, ./data/haicgu/2024-07-30_11:06:57/data.csv
32KiB, ./data/haicgu/2024-07-30_11:07:24/data.csv
256KiB, ./data/haicgu/2024-07-30_11:07:52/data.csv
2MiB, ./data/haicgu/2024-07-30_11:08:21/data.csv
16MiB, ./data/haicgu/2024-07-30_11:08:50/data.csv
128MiB, ./data/haicgu/2024-07-30_11:09:33/data.csv
8GiB, ./data/haicgu/2024-07-30_11:13:58/data.csv
1B, ./data/haicgu/2024-07-30_20:17:10/data.csv
4B, ./data/haicgu/2024-07-30_20:17:37/data.csv
8B, ./data/haicgu/2024-07-30_20:18:03/data.csv
64B, ./data/haicgu/2024-07-30_20:18:32/data.csv
512B, ./data/haicgu/2024-07-30_20:19:02/data.csv
4KiB, ./data/haicgu/2024-07-30_20:19:29/data.csv
32KiB, ./data/haicgu/2024-07-30_20:19:56/data.csv
256KiB, ./data/haicgu/2024-07-30_20:20:23/data.csv
2MiB, ./data/haicgu/2024-07-30_20:20:52/data.csv
16MiB, ./data/haicgu/2024-07-30_20:21:21/data.csv
128MiB, ./data/haicgu/2024-07-30_20:22:00/data.csv
8GiB, ./data/haicgu/2024-07-30_20:24:40/data.csv
