# ststem: haicgu, experiment: a2a_b, nnodes: 2, process-per-node: 1
# msg_size, datafile
1B, ./data/haicgu/2024-07-30_09:04:11/data.csv
4B, ./data/haicgu/2024-07-30_09:04:29/data.csv
8B, ./data/haicgu/2024-07-30_09:04:47/data.csv
64B, ./data/haicgu/2024-07-30_09:05:05/data.csv
512B, ./data/haicgu/2024-07-30_09:05:23/data.csv
4KiB, ./data/haicgu/2024-07-30_09:05:41/data.csv
32KiB, ./data/haicgu/2024-07-30_09:05:59/data.csv
256KiB, ./data/haicgu/2024-07-30_09:06:18/data.csv
2MiB, ./data/haicgu/2024-07-30_09:06:36/data.csv
16MiB, ./data/haicgu/2024-07-30_09:06:54/data.csv
128MiB, ./data/haicgu/2024-07-30_09:07:15/data.csv
8GiB, ./data/haicgu/2024-07-30_09:08:23/data.csv
1B, ./data/haicgu/2024-07-30_18:16:59/data.csv
4B, ./data/haicgu/2024-07-30_18:17:16/data.csv
8B, ./data/haicgu/2024-07-30_18:17:34/data.csv
64B, ./data/haicgu/2024-07-30_18:17:52/data.csv
512B, ./data/haicgu/2024-07-30_18:18:09/data.csv
4KiB, ./data/haicgu/2024-07-30_18:18:27/data.csv
32KiB, ./data/haicgu/2024-07-30_18:18:44/data.csv
256KiB, ./data/haicgu/2024-07-30_18:19:02/data.csv
2MiB, ./data/haicgu/2024-07-30_18:19:21/data.csv
16MiB, ./data/haicgu/2024-07-30_18:19:39/data.csv
128MiB, ./data/haicgu/2024-07-30_18:20:00/data.csv
8GiB, ./data/haicgu/2024-07-30_18:21:07/data.csv
