# ststem: haicgu, experiment: a2a_b, nnodes: 4, process-per-node: 1
# msg_size, datafile
1B, ./data/haicgu/2024-07-30_10:04:29/data.csv
4B, ./data/haicgu/2024-07-30_10:04:57/data.csv
8B, ./data/haicgu/2024-07-30_10:05:24/data.csv
64B, ./data/haicgu/2024-07-30_10:05:51/data.csv
512B, ./data/haicgu/2024-07-30_10:06:18/data.csv
4KiB, ./data/haicgu/2024-07-30_10:06:46/data.csv
32KiB, ./data/haicgu/2024-07-30_10:07:13/data.csv
256KiB, ./data/haicgu/2024-07-30_10:07:41/data.csv
2MiB, ./data/haicgu/2024-07-30_10:08:09/data.csv
16MiB, ./data/haicgu/2024-07-30_10:08:37/data.csv
128MiB, ./data/haicgu/2024-07-30_10:09:11/data.csv
8GiB, ./data/haicgu/2024-07-30_10:11:13/data.csv
1B, ./data/haicgu/2024-07-30_19:17:02/data.csv
4B, ./data/haicgu/2024-07-30_19:17:29/data.csv
8B, ./data/haicgu/2024-07-30_19:17:55/data.csv
64B, ./data/haicgu/2024-07-30_19:18:21/data.csv
512B, ./data/haicgu/2024-07-30_19:18:47/data.csv
4KiB, ./data/haicgu/2024-07-30_19:19:13/data.csv
32KiB, ./data/haicgu/2024-07-30_19:19:40/data.csv
256KiB, ./data/haicgu/2024-07-30_19:20:06/data.csv
2MiB, ./data/haicgu/2024-07-30_19:20:33/data.csv
16MiB, ./data/haicgu/2024-07-30_19:21:01/data.csv
128MiB, ./data/haicgu/2024-07-30_19:21:33/data.csv
8GiB, ./data/haicgu/2024-07-30_19:23:25/data.csv
