# ststem: haicgu, experiment: a2a_b, nnodes: 8, process-per-node: 128
# msg_size, datafile
1B, ./data/haicgu/2024-07-30_11:14:26/data.csv
4B, ./data/haicgu/2024-07-30_11:24:27/data.csv
8B, ./data/haicgu/2024-07-30_11:34:28/data.csv
64B, ./data/haicgu/2024-07-30_11:44:29/data.csv
512B, ./data/haicgu/2024-07-30_11:54:30/data.csv
1B, ./data/haicgu/2024-07-30_20:25:07/data.csv
4B, ./data/haicgu/2024-07-30_20:35:08/data.csv
8B, ./data/haicgu/2024-07-30_20:45:10/data.csv
64B, ./data/haicgu/2024-07-30_20:55:11/data.csv
512B, ./data/haicgu/2024-07-30_21:05:12/data.csv
