# ststem: nanjin, experiment: ardc_b, nnodes: 8, process-per-node: 1
# msg_size, datafile
4B, ./data/nanjin/2024-07-30_14:53:01/data.csv
8B, ./data/nanjin/2024-07-30_14:53:08/data.csv
64B, ./data/nanjin/2024-07-30_14:53:16/data.csv
512B, ./data/nanjin/2024-07-30_14:53:23/data.csv
4KiB, ./data/nanjin/2024-07-30_14:53:30/data.csv
32KiB, ./data/nanjin/2024-07-30_14:53:37/data.csv
256KiB, ./data/nanjin/2024-07-30_14:53:45/data.csv
2MiB, ./data/nanjin/2024-07-30_14:53:56/data.csv
16MiB, ./data/nanjin/2024-07-30_14:54:05/data.csv
128MiB, ./data/nanjin/2024-07-30_14:54:24/data.csv
4B, ./data/nanjin/2024-07-30_15:46:49/data.csv
8B, ./data/nanjin/2024-07-30_15:46:56/data.csv
64B, ./data/nanjin/2024-07-30_15:47:04/data.csv
512B, ./data/nanjin/2024-07-30_15:47:11/data.csv
4KiB, ./data/nanjin/2024-07-30_15:47:18/data.csv
32KiB, ./data/nanjin/2024-07-30_15:47:25/data.csv
256KiB, ./data/nanjin/2024-07-30_15:47:33/data.csv
2MiB, ./data/nanjin/2024-07-30_15:47:44/data.csv
16MiB, ./data/nanjin/2024-07-30_15:47:53/data.csv
128MiB, ./data/nanjin/2024-07-30_15:48:12/data.csv
1GiB, ./data/nanjin/2024-07-30_15:50:04/data.csv
8GiB, ./data/nanjin/2024-07-30_16:00:07/data.csv
